"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2026","436.01","433.38","437.88","421.58","174.22K","-0.75%"
"05/28/2026","439.32","393.59","448.35","393.45","1.73M","12.27%"
"05/27/2026","391.32","384.00","392.51","374.00","1.05M","1.56%"
"05/26/2026","385.30","391.07","400.63","379.00","1.31M","-0.18%"
"05/22/2026","386.00","392.00","400.00","384.05","1.32M","-0.99%"
"05/21/2026","389.84","393.19","395.13","380.43","1.10M","-2.16%"
"05/20/2026","398.44","389.44","402.52","383.10","963.86K","1.55%"
"05/19/2026","392.34","398.44","402.03","382.00","789.58K","-1.76%"
"05/18/2026","399.37","393.72","414.50","391.48","1.07M","1.91%"
"05/15/2026","391.88","385.66","403.52","385.55","1.04M","0.95%"
"05/14/2026","388.19","377.25","394.89","366.00","893.58K","3.02%"
"05/13/2026","376.82","389.23","393.99","367.01","1.34M","-4.28%"
"05/12/2026","393.66","398.24","409.21","389.01","1.05M","-0.18%"
"05/11/2026","394.36","394.20","400.18","379.19","1.40M","-2.27%"
"05/08/2026","403.54","431.49","432.76","392.56","1.75M","-5.47%"
"05/07/2026","426.89","408.40","438.97","385.78","2.56M","10.63%"
"05/06/2026","385.86","384.48","387.68","369.43","2.25M","1.38%"
"05/05/2026","380.60","396.14","396.84","370.45","1.54M","-3.34%"
"05/04/2026","393.75","403.00","413.66","393.71","855.49K","-2.13%"
"05/01/2026","402.31","408.76","413.95","398.38","605.88K","0.14%"
"04/30/2026","401.76","399.90","403.21","392.00","868.55K","0.30%"
"04/29/2026","400.54","404.50","406.31","380.33","1.19M","-1.42%"
"04/28/2026","406.31","402.59","412.00","398.42","770.91K","0.92%"
"04/27/2026","402.59","395.52","408.23","395.20","764.51K","1.38%"
"04/24/2026","397.12","394.12","398.57","383.71","824.54K","1.14%"
"04/23/2026","392.64","397.10","399.41","376.28","1.27M","-2.61%"
"04/22/2026","403.15","409.88","414.00","394.01","897.82K","-0.44%"
"04/21/2026","404.92","398.63","410.04","391.24","816.51K","0.29%"
"04/20/2026","403.75","397.85","404.68","394.82","485.17K","0.22%"
"04/17/2026","402.85","405.00","410.39","400.04","940.42K","2.49%"
"04/16/2026","393.08","413.01","414.21","392.69","1.09M","-2.26%"
"04/15/2026","402.18","390.58","404.15","383.34","1.16M","5.60%"
"04/14/2026","380.86","371.44","383.87","369.72","1.53M","5.90%"
"04/13/2026","359.63","345.89","364.88","342.60","1.54M","3.96%"
"04/10/2026","345.94","356.27","360.46","339.01","1.70M","-1.53%"
"04/09/2026","351.33","386.51","387.08","347.28","2.12M","-10.27%"
"04/08/2026","391.53","400.95","412.83","385.05","1.63M","5.00%"
"04/07/2026","372.87","409.91","411.48","362.73","2.13M","-9.73%"
"04/06/2026","413.07","411.07","420.64","410.00","616.50K","0.06%"
"04/02/2026","412.81","415.02","422.61","403.03","1.07M","-2.54%"
"04/01/2026","423.57","432.52","439.51","422.04","679.14K","-0.26%"
"03/31/2026","424.69","419.15","434.20","413.56","817.84K","2.32%"
"03/30/2026","415.07","430.00","437.58","412.15","1.00M","-3.46%"
"03/27/2026","429.94","445.01","449.10","428.50","864.40K","-4.56%"
"03/26/2026","450.46","448.21","467.82","445.00","767.96K","-2.11%"
"03/25/2026","460.15","463.28","472.68","453.24","949.23K","0.78%"
