"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2026","975.55","957.99","981.00","947.11","12.97M","5.63%"
"05/28/2026","923.52","929.83","949.49","904.78","49.69M","-0.53%"
"05/27/2026","928.41","955.66","956.16","888.15","72.30M","3.63%"
"05/26/2026","895.88","820.50","916.80","820.29","76.56M","19.29%"
"05/22/2026","751.00","756.82","780.20","747.20","36.00M","-1.46%"
"05/21/2026","762.10","736.36","764.90","732.20","42.46M","4.11%"
"05/20/2026","731.99","734.96","735.68","700.66","48.83M","4.76%"
"05/19/2026","698.74","665.58","725.95","652.21","61.79M","2.52%"
"05/18/2026","681.54","750.46","757.00","663.25","60.04M","-5.95%"
"05/15/2026","724.66","732.57","749.59","719.00","48.52M","-6.62%"
"05/14/2026","776.01","787.62","812.00","775.63","42.14M","-3.44%"
"05/13/2026","803.63","813.16","814.95","779.47","54.88M","4.83%"
"05/12/2026","766.58","774.70","782.76","706.60","73.74M","-3.61%"
"05/11/2026","795.33","792.98","818.67","768.00","70.97M","6.50%"
"05/08/2026","746.81","676.45","747.21","676.21","65.13M","15.49%"
"05/07/2026","646.63","649.83","683.09","635.42","47.53M","-2.99%"
"05/06/2026","666.59","660.37","667.67","627.58","55.73M","4.12%"
"05/05/2026","640.20","609.78","651.74","605.47","64.27M","11.06%"
"05/04/2026","576.45","560.60","592.80","557.76","46.04M","6.31%"
"05/01/2026","542.21","511.78","545.91","510.21","40.22M","4.84%"
"04/30/2026","517.16","529.74","535.50","502.58","36.55M","-0.25%"
"04/29/2026","518.46","526.00","531.02","508.80","36.25M","2.81%"
"04/28/2026","504.29","503.54","518.83","488.23","44.82M","-3.86%"
"04/27/2026","524.56","510.56","531.36","510.02","41.30M","5.60%"
"04/24/2026","496.72","495.92","506.99","489.36","35.38M","3.11%"
"04/23/2026","481.72","482.28","493.62","471.80","38.18M","-1.18%"
"04/22/2026","487.48","462.93","491.98","458.56","46.00M","8.48%"
"04/21/2026","449.38","451.32","457.82","441.30","27.73M","0.21%"
"04/20/2026","448.42","458.25","464.56","435.90","32.01M","-1.46%"
"04/17/2026","455.07","466.85","470.97","452.20","33.41M","-0.47%"
"04/16/2026","457.23","452.96","462.34","444.38","33.63M","0.22%"
"04/15/2026","456.23","457.63","463.95","439.32","40.37M","-2.03%"
"04/14/2026","465.66","434.35","465.78","424.86","52.53M","9.17%"
"04/13/2026","426.56","416.47","426.88","408.50","37.02M","1.42%"
"04/10/2026","420.59","420.29","423.86","410.05","36.38M","-0.22%"
"04/09/2026","421.51","407.61","423.94","398.44","43.10M","3.63%"
"04/08/2026","406.73","415.13","416.00","398.88","49.22M","7.72%"
"04/07/2026","377.58","374.13","379.25","364.10","40.22M","-0.05%"
"04/06/2026","377.76","373.80","385.08","370.61","41.41M","3.15%"
"04/02/2026","366.24","341.34","366.94","340.20","51.50M","-0.44%"
"04/01/2026","367.85","348.90","377.89","343.00","74.43M","8.88%"
"03/31/2026","337.84","321.67","337.84","311.49","73.55M","4.98%"
"03/30/2026","321.80","362.66","362.81","318.40","73.83M","-9.92%"
"03/27/2026","357.22","359.86","368.70","354.06","45.81M","0.50%"
"03/26/2026","355.46","370.02","374.25","350.00","54.52M","-6.97%"
"03/25/2026","382.09","383.00","388.92","371.38","55.33M","-3.40%"
"03/24/2026","395.53","401.28","404.98","388.91","44.98M","-2.18%"
"03/23/2026","404.35","426.14","444.27","401.52","54.81M","-4.39%"
"03/20/2026","422.90","443.92","449.10","415.36","64.22M","-4.81%"
"03/19/2026","444.27","424.97","457.22","421.11","74.59M","-3.78%"
"03/18/2026","461.73","464.76","471.34","458.30","58.97M","0.01%"
"03/17/2026","461.69","452.54","462.73","445.14","43.02M","4.50%"
"03/16/2026","441.80","446.16","454.86","437.74","43.07M","3.68%"
"03/13/2026","426.13","413.75","429.35","413.00","39.26M","5.13%"
"03/12/2026","405.35","409.99","413.73","396.67","31.72M","-3.19%"
"03/11/2026","418.69","410.77","422.75","405.79","30.19M","3.86%"
"03/10/2026","403.11","394.01","415.31","393.64","33.75M","3.54%"
"03/09/2026","389.32","363.96","390.00","357.67","35.55M","5.14%"
"03/06/2026","370.30","380.14","391.18","367.45","34.46M","-6.74%"
"03/05/2026","397.05","398.60","404.53","380.30","29.96M","-0.93%"
"03/04/2026","400.77","393.64","407.88","387.61","32.64M","5.55%"
"03/03/2026","379.68","386.55","390.09","374.55","39.01M","-7.99%"
"03/02/2026","412.67","401.47","417.61","397.00","30.05M","0.07%"
"02/27/2026","412.37","401.81","417.96","401.18","28.65M","-0.77%"
"02/26/2026","415.56","424.84","434.00","401.96","35.43M","-3.13%"
"02/25/2026","429.00","426.50","436.89","423.00","27.30M","2.63%"
