"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2026","314.79","315.20","319.49","311.66","1.01M","0.19%"
"05/28/2026","314.18","316.40","320.67","307.30","5.38M","-1.75%"
"05/27/2026","319.78","326.01","326.16","310.10","5.29M","-1.28%"
"05/26/2026","323.91","341.06","343.31","323.26","6.52M","-1.08%"
"05/22/2026","327.46","333.96","334.89","324.00","4.80M","1.26%"
"05/21/2026","323.40","322.30","330.33","319.00","5.22M","2.45%"
"05/20/2026","315.67","325.00","329.43","314.25","6.01M","-2.16%"
"05/19/2026","322.63","329.68","334.63","314.34","9.04M","-5.03%"
"05/18/2026","339.73","370.30","370.30","330.72","8.09M","-8.41%"
"05/15/2026","370.94","364.31","373.91","356.27","4.87M","-1.41%"
"05/14/2026","376.23","370.24","379.93","365.15","3.61M","1.69%"
"05/13/2026","369.99","375.70","377.77","360.91","4.46M","0.78%"
"05/12/2026","367.13","361.32","370.27","349.02","6.56M","-0.21%"
"05/11/2026","367.92","342.01","371.99","342.01","7.28M","8.22%"
"05/08/2026","339.97","349.79","350.99","339.71","4.08M","-0.01%"
"05/07/2026","340.01","358.58","359.00","336.18","5.46M","-5.27%"
"05/06/2026","358.92","351.56","359.84","343.65","5.58M","5.25%"
"05/05/2026","341.02","334.07","341.12","330.60","5.46M","3.04%"
"05/04/2026","330.97","329.58","332.95","321.45","4.93M","0.81%"
"05/01/2026","328.31","330.65","331.97","324.23","4.41M","-0.05%"
"04/30/2026","328.49","313.75","330.00","312.34","6.27M","7.29%"
"04/29/2026","306.18","307.05","309.97","299.80","4.54M","0.38%"
"04/28/2026","305.03","307.20","314.51","293.88","8.22M","-5.40%"
"04/27/2026","322.43","325.99","328.05","307.07","5.44M","-0.32%"
"04/24/2026","323.46","328.00","330.30","316.40","5.28M","0.53%"
"04/23/2026","321.75","304.20","325.25","304.20","7.07M","5.44%"
"04/22/2026","305.14","305.32","312.98","296.80","9.84M","-2.34%"
"04/21/2026","312.44","316.10","323.04","310.84","7.29M","-0.63%"
"04/20/2026","314.41","307.01","315.66","305.11","4.67M","2.30%"
"04/17/2026","307.34","298.70","308.54","298.22","5.81M","4.49%"
"04/16/2026","294.13","303.00","303.31","292.67","4.83M","-2.33%"
"04/15/2026","301.16","309.50","311.00","296.64","5.35M","-3.01%"
"04/14/2026","310.51","307.00","312.46","299.01","4.99M","3.52%"
"04/13/2026","299.96","294.98","300.68","294.98","4.73M","1.64%"
"04/10/2026","295.11","289.75","297.56","289.30","4.64M","2.60%"
"04/09/2026","287.64","280.99","291.00","280.97","5.17M","2.35%"
"04/08/2026","281.03","279.87","285.60","273.38","5.70M","7.14%"
"04/07/2026","262.30","256.97","262.48","252.01","2.94M","1.38%"
"04/06/2026","258.73","262.93","266.52","258.59","3.31M","-0.98%"
"04/02/2026","261.29","249.12","267.00","247.92","3.97M","0.74%"
"04/01/2026","259.37","257.00","265.55","257.00","5.11M","3.51%"
"03/31/2026","250.58","233.00","251.00","233.00","6.69M","6.98%"
"03/30/2026","234.22","253.71","255.45","231.70","6.93M","-6.71%"
"03/27/2026","251.07","249.96","256.84","248.50","5.44M","-0.53%"
"03/26/2026","252.40","273.81","274.16","252.40","6.62M","-8.60%"
"03/25/2026","276.16","276.80","282.05","274.00","5.93M","1.95%"
"03/24/2026","270.89","256.00","270.91","251.15","6.84M","5.82%"
"03/23/2026","256.00","258.99","271.88","255.12","8.89M","0.05%"
"03/20/2026","255.88","268.62","272.84","255.51","87.83M","-4.94%"
"03/19/2026","269.17","258.44","271.10","256.04","7.08M","1.68%"
"03/18/2026","264.71","271.63","274.73","264.54","6.67M","-1.38%"
"03/17/2026","268.41","260.66","270.87","259.51","5.12M","1.39%"
"03/16/2026","264.74","261.68","270.91","261.68","7.39M","2.26%"
"03/13/2026","258.88","265.20","269.22","256.07","6.98M","-2.45%"
"03/12/2026","265.38","263.65","271.44","257.26","7.47M","-1.07%"
"03/11/2026","268.26","272.11","276.78","266.57","7.10M","-0.67%"
"03/10/2026","270.06","265.55","274.85","264.50","11.31M","2.16%"
"03/09/2026","264.35","251.49","266.67","251.00","20.43M","9.33%"
"03/06/2026","241.78","241.00","251.47","238.65","8.77M","-3.19%"
"03/05/2026","249.75","247.49","258.32","238.74","5.29M","-0.61%"
"03/04/2026","251.28","249.40","255.30","245.34","4.30M","2.80%"
"03/03/2026","244.44","245.53","248.22","234.72","6.87M","-5.16%"
"03/02/2026","257.75","249.44","258.90","244.22","5.38M","1.12%"
"02/27/2026","254.89","251.50","257.80","245.67","6.97M","-1.67%"
"02/26/2026","259.23","260.15","260.15","241.69","8.57M","-1.13%"
"02/25/2026","262.19","255.46","264.86","255.00","6.58M","3.57%"
"02/24/2026","253.15","246.50","253.48","241.27","5.46M","3.15%"
"02/23/2026","245.42","242.60","245.77","240.00","4.03M","0.69%"
"02/20/2026","243.75","240.99","246.80","238.19","3.88M","0.28%"
"02/19/2026","243.06","241.03","247.71","239.52","3.93M","-0.06%"
"02/18/2026","243.21","247.00","254.05","240.38","5.35M","-0.13%"
"02/17/2026","243.53","234.58","245.40","232.12","6.45M","3.84%"
"02/13/2026","234.53","238.22","239.51","227.05","6.79M","-0.84%"
"02/12/2026","236.51","243.95","255.54","234.51","12.44M","-4.83%"
"02/11/2026","248.51","233.25","249.95","233.00","19.79M","24.49%"
"02/10/2026","199.62","203.00","206.35","197.38","6.71M","-1.18%"
"02/09/2026","202.00","196.78","208.43","195.84","7.64M","3.28%"
"02/06/2026","195.58","180.92","195.81","180.92","7.20M","10.03%"
"02/05/2026","177.75","176.29","183.33","172.35","6.14M","-2.63%"
"02/04/2026","182.56","190.70","194.88","172.60","8.29M","-3.99%"
"02/03/2026","190.15","190.01","195.00","183.01","4.43M","0.07%"
"02/02/2026","190.01","182.65","191.90","182.00","4.11M","2.06%"
"01/30/2026","186.18","194.91","200.40","185.60","4.50M","-4.57%"
"01/29/2026","195.10","196.98","199.19","186.18","5.66M","0.69%"
"01/28/2026","193.76","189.80","194.00","188.07","4.94M","2.40%"
"01/27/2026","189.21","182.40","189.30","178.26","4.39M","4.40%"
"01/26/2026","181.23","181.02","185.32","180.08","3.02M","-0.69%"
"01/23/2026","182.49","182.22","183.72","175.73","3.50M","0.76%"
"01/22/2026","181.12","186.92","189.90","179.20","5.51M","-0.19%"
"01/21/2026","181.47","176.69","182.50","173.00","5.59M","3.59%"
"01/20/2026","175.18","170.85","177.97","170.01","4.69M","-0.99%"
"01/16/2026","176.93","174.63","180.37","173.50","4.50M","2.54%"
"01/15/2026","172.54","176.00","179.67","172.35","4.10M","0.98%"
"01/14/2026","170.86","172.20","175.56","167.60","3.78M","-1.08%"
"01/13/2026","172.72","170.10","175.21","169.74","3.65M","1.58%"
"01/12/2026","170.03","164.18","171.33","164.16","4.18M","3.94%"
"01/09/2026","163.58","162.40","164.77","161.19","5.67M","1.74%"
"01/08/2026","160.78","170.75","171.26","158.77","7.68M","-6.27%"
"01/07/2026","171.54","169.00","174.21","168.53","5.21M","-1.95%"
"01/06/2026","174.95","169.36","175.21","162.21","7.81M","0.57%"
"01/05/2026","173.95","182.63","183.25","170.44","5.86M","-0.95%"
"01/02/2026","175.61","169.46","177.25","169.13","7.35M","8.39%"
"12/31/2025","162.01","164.69","165.76","161.91","2.58M","-1.42%"
"12/30/2025","164.34","165.99","166.40","163.88","3.76M","-0.77%"
"12/29/2025","165.62","165.80","168.99","163.79","3.08M","-1.17%"
"12/26/2025","167.58","167.26","168.44","165.85","2.53M","0.43%"
"12/24/2025","166.87","166.00","167.50","164.62","1.34M","0.37%"
"12/23/2025","166.26","165.53","167.96","161.83","3.22M","0.01%"
"12/22/2025","166.25","166.13","167.00","162.95","5.69M","4.02%"
"12/19/2025","159.82","156.00","162.37","155.27","9.72M","3.52%"
"12/18/2025","154.39","156.43","158.76","151.50","7.77M","3.04%"
"12/17/2025","149.83","161.01","161.01","147.82","11.96M","-6.74%"
"12/16/2025","160.66","158.35","162.47","154.65","7.81M","-0.67%"
"12/15/2025","161.74","163.41","166.55","160.00","8.86M","0.29%"
"12/12/2025","161.27","173.30","174.15","159.82","12.51M","-9.73%"
"12/11/2025","178.66","177.50","179.00","167.18","11.32M","-1.74%"
"12/10/2025","181.82","179.38","185.40","175.55","5.30M","1.93%"
"12/09/2025","178.38","181.18","182.50","176.54","6.41M","-3.90%"
"12/08/2025","185.61","186.17","188.50","182.00","5.56M","-1.80%"
"12/05/2025","189.02","182.17","189.66","180.10","7.45M","3.55%"
"12/04/2025","182.54","179.34","185.34","177.16","4.96M","2.05%"
"12/03/2025","178.88","179.02","180.93","172.70","5.37M","-1.12%"
"12/02/2025","180.91","182.82","186.37","179.62","5.30M","0.94%"
"12/01/2025","179.22","175.90","182.65","173.20","6.50M","-0.28%"
"11/28/2025","179.73","173.52","179.80","172.66","4.06M","4.48%"
"11/26/2025","172.02","172.21","174.87","170.55","5.26M","1.44%"
"11/25/2025","169.57","167.55","169.66","158.89","8.57M","0.39%"
"11/24/2025","168.91","162.43","171.80","162.43","8.21M","5.68%"
"11/21/2025","159.83","160.00","161.29","149.11","10.58M","0.14%"
